Time,T° 600,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:14:16,28.2,0.087,0.086,0.086,0.087,0.085,0.085,0.085,0.085,0.086,0.086,0.085,0.085,0.085,0.145,0.143,0.149,0.149,0.145,0.146,0.142,0.144,0.142,0.145,0.086,0.086,0.148,0.153,0.164,0.155,0.157,0.162,0.147,0.151,0.159,0.159,0.086,0.086,0.156,0.16,0.16,0.144,0.148,0.15,0.146,0.159,0.142,0.148,0.086,0.085,0.141,0.147,0.14,0.145,0.151,0.147,0.139,0.14,0.143,0.145,0.086,0.085,0.152,0.156,0.157,0.085,0.087,0.083,0.152,0.153,0.087,0.089,0.088,0.085,0.14,0.159,0.148,0.085,0.087,0.086,0.143,0.141,0.087,0.086,0.088,0.086,0.086,0.086,0.087,0.087,0.09,0.086,0.085,0.085,0.088,0.087,0.087
0:29:16,28.2,0.087,0.086,0.086,0.087,0.085,0.085,0.085,0.085,0.086,0.086,0.085,0.085,0.085,0.137,0.14,0.142,0.145,0.145,0.145,0.137,0.138,0.142,0.144,0.086,0.086,0.148,0.153,0.164,0.163,0.175,0.167,0.145,0.15,0.163,0.168,0.085,0.085,0.163,0.17,0.176,0.141,0.147,0.147,0.149,0.16,0.14,0.145,0.086,0.085,0.142,0.146,0.142,0.142,0.147,0.145,0.138,0.14,0.139,0.141,0.086,0.085,0.151,0.168,0.155,0.085,0.087,0.083,0.151,0.152,0.087,0.089,0.088,0.085,0.135,0.15,0.139,0.085,0.087,0.086,0.137,0.136,0.087,0.086,0.088,0.086,0.086,0.086,0.087,0.087,0.091,0.086,0.085,0.085,0.088,0.087,0.087
0:44:16,28.2,0.087,0.086,0.086,0.087,0.085,0.085,0.085,0.085,0.086,0.086,0.085,0.085,0.085,0.135,0.141,0.141,0.147,0.149,0.148,0.136,0.137,0.142,0.145,0.086,0.086,0.148,0.149,0.164,0.182,0.183,0.206,0.146,0.151,0.169,0.173,0.086,0.086,0.171,0.171,0.174,0.132,0.143,0.137,0.155,0.164,0.141,0.145,0.086,0.085,0.143,0.151,0.143,0.14,0.145,0.149,0.139,0.143,0.139,0.141,0.086,0.085,0.152,0.161,0.162,0.085,0.087,0.083,0.152,0.152,0.087,0.089,0.088,0.085,0.132,0.148,0.139,0.085,0.087,0.086,0.135,0.134,0.087,0.086,0.088,0.086,0.086,0.086,0.087,0.087,0.091,0.086,0.085,0.086,0.088,0.087,0.087
0:59:16,28.2,0.087,0.086,0.086,0.087,0.085,0.085,0.085,0.085,0.086,0.086,0.085,0.085,0.085,0.137,0.138,0.145,0.154,0.155,0.154,0.136,0.135,0.144,0.146,0.086,0.086,0.148,0.157,0.173,0.193,0.175,0.211,0.148,0.152,0.183,0.187,0.085,0.085,0.179,0.177,0.181,0.14,0.144,0.146,0.161,0.174,0.141,0.147,0.086,0.085,0.147,0.147,0.145,0.137,0.146,0.151,0.141,0.143,0.139,0.137,0.086,0.085,0.158,0.154,0.167,0.085,0.087,0.083,0.155,0.155,0.087,0.089,0.087,0.085,0.13,0.147,0.137,0.085,0.087,0.086,0.131,0.13,0.087,0.086,0.088,0.086,0.086,0.086,0.087,0.087,0.091,0.086,0.085,0.085,0.088,0.087,0.087
1:14:16,28.2,0.087,0.086,0.086,0.087,0.085,0.085,0.085,0.085,0.086,0.086,0.085,0.085,0.085,0.136,0.139,0.146,0.153,0.159,0.151,0.137,0.138,0.147,0.149,0.086,0.086,0.147,0.158,0.168,0.198,0.219,0.202,0.151,0.154,0.177,0.188,0.085,0.085,0.186,0.183,0.187,0.136,0.148,0.145,0.167,0.179,0.145,0.151,0.086,0.085,0.158,0.158,0.145,0.141,0.157,0.154,0.145,0.147,0.142,0.139,0.086,0.085,0.164,0.164,0.166,0.085,0.087,0.083,0.161,0.16,0.087,0.089,0.087,0.085,0.134,0.144,0.139,0.085,0.087,0.086,0.132,0.133,0.087,0.086,0.088,0.086,0.086,0.086,0.087,0.087,0.091,0.086,0.085,0.085,0.088,0.087,0.087
1:29:16,28.2,0.087,0.086,0.086,0.087,0.085,0.085,0.085,0.085,0.086,0.086,0.085,0.085,0.085,0.138,0.141,0.153,0.168,0.163,0.163,0.142,0.141,0.154,0.158,0.086,0.086,0.149,0.164,0.184,0.196,0.226,0.203,0.154,0.161,0.206,0.209,0.086,0.086,0.196,0.207,0.206,0.151,0.172,0.153,0.174,0.188,0.147,0.156,0.086,0.085,0.168,0.155,0.168,0.158,0.143,0.157,0.151,0.154,0.145,0.144,0.086,0.085,0.166,0.165,0.167,0.085,0.087,0.083,0.164,0.168,0.087,0.089,0.087,0.085,0.134,0.143,0.145,0.085,0.087,0.086,0.137,0.136,0.087,0.086,0.088,0.086,0.086,0.086,0.087,0.087,0.091,0.086,0.085,0.085,0.088,0.087,0.087
1:44:16,28.2,0.087,0.086,0.086,0.087,0.085,0.085,0.085,0.085,0.086,0.086,0.085,0.085,0.085,0.145,0.145,0.158,0.173,0.167,0.174,0.152,0.148,0.162,0.169,0.086,0.086,0.151,0.172,0.182,0.216,0.216,0.253,0.159,0.169,0.23,0.227,0.085,0.085,0.206,0.203,0.196,0.148,0.176,0.16,0.183,0.195,0.153,0.161,0.086,0.085,0.152,0.165,0.174,0.159,0.151,0.157,0.158,0.165,0.149,0.152,0.086,0.085,0.166,0.177,0.185,0.085,0.087,0.083,0.172,0.179,0.087,0.089,0.087,0.085,0.138,0.15,0.147,0.085,0.087,0.086,0.141,0.14,0.087,0.086,0.088,0.086,0.086,0.086,0.087,0.087,0.091,0.086,0.085,0.085,0.088,0.087,0.087
1:59:16,28.2,0.087,0.086,0.086,0.087,0.085,0.085,0.085,0.085,0.086,0.086,0.085,0.085,0.085,0.158,0.165,0.172,0.185,0.173,0.187,0.163,0.16,0.169,0.177,0.086,0.086,0.158,0.172,0.19,0.227,0.235,0.251,0.166,0.178,0.243,0.24,0.085,0.085,0.22,0.215,0.204,0.163,0.194,0.174,0.192,0.202,0.166,0.188,0.086,0.085,0.179,0.181,0.18,0.164,0.161,0.164,0.166,0.173,0.156,0.16,0.086,0.085,0.172,0.185,0.187,0.085,0.087,0.083,0.182,0.192,0.087,0.089,0.087,0.085,0.142,0.161,0.158,0.085,0.087,0.086,0.15,0.151,0.087,0.086,0.088,0.086,0.086,0.086,0.087,0.087,0.091,0.086,0.085,0.085,0.088,0.087,0.087
2:14:16,28.2,0.087,0.086,0.086,0.087,0.085,0.085,0.085,0.085,0.086,0.086,0.085,0.085,0.085,0.176,0.184,0.195,0.199,0.185,0.203,0.183,0.183,0.184,0.193,0.086,0.086,0.17,0.196,0.207,0.242,0.249,0.245,0.175,0.191,0.27,0.269,0.086,0.086,0.223,0.228,0.205,0.177,0.203,0.187,0.199,0.206,0.189,0.189,0.086,0.085,0.197,0.192,0.201,0.175,0.174,0.173,0.181,0.187,0.169,0.174,0.086,0.085,0.19,0.198,0.203,0.085,0.087,0.083,0.192,0.208,0.087,0.089,0.088,0.085,0.151,0.175,0.175,0.085,0.087,0.086,0.162,0.164,0.087,0.086,0.088,0.086,0.086,0.086,0.087,0.087,0.091,0.086,0.085,0.086,0.088,0.087,0.087
2:29:16,28.2,0.087,0.086,0.086,0.087,0.085,0.085,0.085,0.085,0.086,0.086,0.085,0.085,0.085,0.194,0.205,0.211,0.211,0.2,0.211,0.199,0.21,0.198,0.213,0.086,0.086,0.183,0.203,0.222,0.253,0.259,0.28,0.196,0.205,0.279,0.282,0.086,0.085,0.239,0.205,0.235,0.196,0.227,0.203,0.202,0.21,0.212,0.221,0.086,0.085,0.211,0.209,0.207,0.19,0.186,0.187,0.204,0.203,0.178,0.186,0.086,0.085,0.212,0.215,0.219,0.085,0.087,0.083,0.208,0.22,0.087,0.089,0.088,0.085,0.165,0.19,0.183,0.085,0.087,0.086,0.178,0.175,0.087,0.086,0.088,0.086,0.086,0.086,0.087,0.087,0.092,0.086,0.085,0.085,0.088,0.087,0.087
