Well,Bacteria (cfu/mL),Phage (pfu/mL),Media
A1,NA,NA,NA
A2,NA,NA,NA
A3,NA,NA,NA
A4,NA,NA,NA
A5,NA,NA,NA
A6,NA,NA,NA
A7,NA,NA,NA
A8,NA,NA,NA
A9,NA,NA,NA
A10,NA,NA,NA
A11,NA,NA,NA
A12,NA,NA,NA
B1,NA,NA,NA
B2,NA,NA,KB Media
B3,NA,NA,KB Media
B4,NA,NA,KB Media
B5,10^5,10^4,KB Media
B6,10^5,10^4,KB Media
B7,10^5,10^4,KB Media
B8,NA,NA,NA
B9,NA,NA,NA
B10,NA,NA,NA
B11,NA,NA,NA
B12,NA,NA,NA
C1,NA,NA,NA
C2,10^5,NA,KB Media
C3,10^5,NA,KB Media
C4,10^5,NA,KB Media
C5,10^5,10^3,KB Media
C6,10^5,10^3,KB Media
C7,10^5,10^3,KB Media
C8,NA,NA,NA
C9,NA,NA,NA
C10,NA,NA,NA
C11,NA,NA,NA
C12,NA,NA,NA
D1,NA,NA,NA
D2,5 x 10^4,NA,KB Media
D3,5 x 10^4,NA,KB Media
D4,5 x 10^4,NA,KB Media
D5,10^5,10^2,KB Media
D6,10^5,10^2,KB Media
D7,10^5,10^2,KB Media
D8,NA,NA,NA
D9,NA,NA,NA
D10,NA,NA,NA
D11,NA,NA,NA
D12,NA,NA,NA
E1,NA,NA,NA
E2,10^4,NA,KB Media
E3,10^4,NA,KB Media
E4,10^4,NA,KB Media
E5,10^4,10^3,KB Media
E6,10^4,10^3,KB Media
E7,10^4,10^3,KB Media
E8,NA,NA,NA
E9,NA,NA,NA
E10,NA,NA,NA
E11,NA,NA,NA
E12,NA,NA,NA
F1,NA,NA,NA
F2,5 x 10^4,5 x 10^3,KB Media
F3,5 x 10^4,5 x 10^3,KB Media
F4,5 x 10^4,5 x 10^3,KB Media
F5,10^4,10^2,KB Media
F6,10^4,10^2,KB Media
F7,10^4,10^2,KB Media
F8,NA,NA,NA
F9,NA,NA,NA
F10,NA,NA,NA
F11,NA,NA,NA
F12,NA,NA,NA
G1,NA,NA,NA
G2,5 x 10^4,5 x 10^2,KB Media
G3,5 x 10^4,5 x 10^2,KB Media
G4,5 x 10^4,5 x 10^2,KB Media
G5,NA,NA,NA
G6,NA,NA,NA
G7,NA,NA,NA
G8,NA,NA,NA
G9,NA,NA,NA
G10,NA,NA,NA
G11,NA,NA,NA
G12,NA,NA,NA
H1,NA,NA,NA
H2,NA,NA,NA
H3,NA,NA,NA
H4,NA,NA,NA
H5,NA,NA,NA
H6,NA,NA,NA
H7,NA,NA,NA
H8,NA,NA,NA
H9,NA,NA,NA
H10,NA,NA,NA
H11,NA,NA,NA
H12,NA,NA,NA
