Date,Proj,Pop,Treat,Timepoint,Isol,PFU,dilution,pfu_ml,EOP,bd,approach
12/12/2019,125,Anc,Anc,0,Anc,3,1.00E+10,3.00E+10,0.692307692,FALSE,new
12/12/2019,125,Anc,Anc,0,Anc,1,1.00E+10,1.00E+10,0.230769231,FALSE,new
12/12/2019,125,Anc,Anc,0,Anc,9,1.00E+10,9.00E+10,2.076923077,FALSE,new
12/12/2019,125,A,L,14,A,5,1.00E+09,5.00E+09,0.115384615,FALSE,new
12/12/2019,125,B,L,14,A,0,10000,10000,3.33E-07,TRUE,new
12/12/2019,125,C,L,14,A,0,10000,10000,3.33E-07,TRUE,new
12/12/2019,125,D,L,14,A,0,10000,10000,3.33E-07,TRUE,new
12/12/2019,125,E,L,14,A,0,10000,10000,3.33E-07,TRUE,new
12/12/2019,125,A,G,14,A,0,10000,10000,3.33E-07,TRUE,new
12/12/2019,125,B,G,14,A,0,10000,10000,3.33E-07,TRUE,new
12/12/2019,125,C,G,14,A,0,10000,10000,3.33E-07,TRUE,new
12/12/2019,125,D,G,14,A,0,10000,10000,3.33E-07,TRUE,new
12/12/2019,125,E,G,14,A,0,10000,10000,3.33E-07,TRUE,new
12/12/2019,125,A,C,14,A,6,1.00E+10,6.00E+10,1.384615385,FALSE,new
12/12/2019,125,B,C,14,A,5,1.00E+10,5.00E+10,1.153846154,FALSE,new
12/12/2019,125,C,C,14,A,8,1.00E+10,8.00E+10,1.846153846,FALSE,new
12/12/2019,125,D,C,14,A,5,1.00E+10,5.00E+10,1.153846154,FALSE,new
12/12/2019,125,E,C,14,A,4,1.00E+10,4.00E+10,0.923076923,FALSE,new
12/13/2019,125,Anc,Anc,0,Anc,4,1.00E+10,4.00E+10,0.8,FALSE,new
12/13/2019,125,Anc,Anc,0,Anc,5,1.00E+10,5.00E+10,1,FALSE,new
12/13/2019,125,Anc,Anc,0,Anc,6,1.00E+10,6.00E+10,1.2,FALSE,new
12/13/2019,125,A,L,14,B,5,1.00E+09,5.00E+09,0.1,FALSE,new
12/13/2019,125,B,L,14,B,0,10000,10000,3.33E-07,TRUE,new
